citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,IS	: 	: 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,IT	: 	: 	: 	827 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,LT	: 	5 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,LU	: 	: 	: 	76 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,NO	: 	: 	: 	87 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,RO	429 	389 	540 	577 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,SE	: 	: 	: 	473 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,SI	345 	269 	310 	332 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,UK	: 	: 	: 	239 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,AT	563 	607 	521 	523 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,BE	: 	: 	: 	278 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,BG	: 	64 	: 	145 p
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,EL	: 	: 	: 	42 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,ES	: 	: 	: 	101 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,FI	: 	: 	: 	42 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,IE	: 	: 	: 	15 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,IS	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,IT	: 	: 	: 	363 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,LT	: 	1 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,LU	: 	: 	: 	31 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,NO	: 	: 	: 	105 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,RO	53 	56 	44 	65 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,SE	: 	: 	: 	181 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,SI	126 	122 	143 	152 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,F,UK	: 	: 	: 	1631 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,AT	900 	888 	769 	801 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,BE	: 	: 	: 	375 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,BG	: 	145 	: 	611 p
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,EL	: 	: 	: 	42 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,ES	: 	: 	: 	112 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,FI	: 	: 	: 	66 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,IE	: 	: 	: 	24 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,IS	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,IT	: 	: 	: 	394 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,LT	: 	6 	: 	4 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,LU	: 	: 	: 	34 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,NO	: 	: 	: 	108 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,RO	128 	97 	155 	160 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,SE	: 	: 	: 	299 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,SI	220 	184 	174 	212 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,M,UK	: 	: 	: 	269 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,AT	1463 	1495 	1290 	1324 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,BE	: 	: 	: 	653 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,BG	: 	209 	: 	756 p
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,EL	: 	: 	: 	84 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,ES	: 	: 	: 	213 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,FI	: 	: 	: 	108 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,IE	: 	: 	: 	39 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,IS	: 	: 	: 	13 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,IT	: 	: 	: 	757 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,LT	: 	7 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,LU	: 	: 	: 	65 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,NO	: 	: 	: 	213 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,RO	181 	153 	199 	225 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,SE	: 	: 	: 	480 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,SI	346 	306 	317 	364 
CC5_13_FOR_X_IS,COMPLET,Y25-29,NR,T,UK	: 	: 	: 	1900 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,AT	474 	430 	392 	375 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,BE	: 	: 	: 	212 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,BG	: 	74 	: 	52 p
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,EL	: 	: 	: 	32 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,ES	: 	: 	: 	55 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,FI	: 	: 	: 	33 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,IE	: 	: 	: 	13 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,IT	: 	: 	: 	242 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,LU	: 	: 	: 	31 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,NO	: 	: 	: 	89 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,RO	27 	28 	36 	41 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,SE	: 	: 	: 	159 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,SI	98 	117 	99 	119 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,F,UK	: 	: 	: 	104 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,AT	599 	627 	613 	564 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,BE	: 	: 	: 	225 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,BG	: 	149 	: 	204 p
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,EL	: 	: 	: 	27 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,ES	: 	: 	: 	68 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,FI	: 	: 	: 	34 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,IE	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,IT	: 	: 	: 	235 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,LT	: 	5 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,LU	: 	: 	: 	52 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,NO	: 	: 	: 	123 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,RO	76 	77 	119 	129 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,SE	: 	: 	: 	210 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,SI	222 	201 	185 	210 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,M,UK	: 	: 	: 	346 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,AT	1073 	1057 	1005 	939 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,BE	: 	: 	: 	437 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,BG	: 	223 	: 	256 p
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,EL	: 	: 	: 	59 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,ES	: 	: 	: 	123 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,FI	: 	: 	: 	67 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,IE	: 	: 	: 	24 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,IS	: 	: 	: 	4 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,IT	: 	: 	: 	477 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,LT	: 	5 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,LU	: 	: 	: 	83 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,NO	: 	: 	: 	212 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,RO	103 	105 	155 	170 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,SE	: 	: 	: 	369 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,SI	320 	318 	284 	329 
CC5_13_FOR_X_IS,COMPLET,Y30-34,NR,T,UK	: 	: 	: 	450 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,AT	394 	338 	269 	297 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,BE	: 	: 	: 	131 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,BG	: 	78 	: 	53 p
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,EL	: 	: 	: 	21 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,ES	: 	: 	: 	35 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,FI	: 	: 	: 	24 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,IE	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,IT	: 	: 	: 	161 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,LU	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,NO	: 	: 	: 	53 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,RO	15 	12 	27 	11 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,SE	: 	: 	: 	138 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,SI	86 	77 	73 	95 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,F,UK	: 	: 	: 	91 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,AT	475 	475 	474 	427 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,BE	: 	: 	: 	141 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,BG	: 	195 	: 	213 p
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,EL	: 	: 	: 	23 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,ES	: 	: 	: 	54 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,FI	: 	: 	: 	27 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,IE	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,IT	: 	: 	: 	154 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,LT	: 	3 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,LU	: 	: 	: 	31 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,NO	: 	: 	: 	61 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,RO	84 	55 	89 	114 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,SE	: 	: 	: 	111 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,SI	269 	161 	151 	175 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,M,UK	: 	: 	: 	348 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,AT	869 	813 	743 	724 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,BE	: 	: 	: 	272 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,BG	: 	273 	: 	266 p
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,EL	: 	: 	: 	44 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,ES	: 	: 	: 	89 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,FI	: 	: 	: 	51 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,IE	: 	: 	: 	17 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,IT	: 	: 	: 	315 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,LT	: 	3 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,LU	: 	: 	: 	41 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,NO	: 	: 	: 	114 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,RO	99 	67 	116 	125 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,SE	: 	: 	: 	249 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,SI	355 	238 	224 	270 
CC5_13_FOR_X_IS,COMPLET,Y35-39,NR,T,UK	: 	: 	: 	439 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,AT	286 	281 	232 	204 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,BE	: 	: 	: 	75 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,BG	: 	73 	: 	51 p
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,EL	: 	: 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,ES	: 	: 	: 	22 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,FI	: 	: 	: 	9 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,IE	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,IS	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,IT	: 	: 	: 	107 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,LU	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,NO	: 	: 	: 	20 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,RO	16 	7 	13 	13 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,SE	: 	: 	: 	70 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,SI	55 	64 	70 	55 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,F,UK	: 	: 	: 	78 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,AT	359 	370 	367 	302 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,BE	: 	: 	: 	125 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,BG	: 	183 	: 	190 p
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,EL	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,ES	: 	: 	: 	27 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,FI	: 	: 	: 	13 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,IE	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,IS	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,IT	: 	: 	: 	107 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,LT	: 	0 	: 	4 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,LU	: 	: 	: 	17 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,NO	: 	: 	: 	29 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,RO	78 	42 	98 	100 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,SE	: 	: 	: 	92 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,SI	224 	137 	137 	131 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,M,UK	: 	: 	: 	271 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,AT	645 	651 	599 	506 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,BE	: 	: 	: 	200 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,BG	: 	256 	: 	241 p
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,EL	: 	: 	: 	16 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,ES	: 	: 	: 	49 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,FI	: 	: 	: 	22 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,IE	: 	: 	: 	12 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,IT	: 	: 	: 	214 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,LT	: 	0 	: 	4 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,LU	: 	: 	: 	27 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,NO	: 	: 	: 	49 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,RO	94 	49 	111 	113 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,SE	: 	: 	: 	162 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,SI	279 	201 	207 	186 
CC5_13_FOR_X_IS,COMPLET,Y40-44,NR,T,UK	: 	: 	: 	349 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,AT	194 	193 	135 	158 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,BE	: 	: 	: 	48 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,BG	: 	101 	: 	61 p
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,EL	: 	: 	: 	4 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,ES	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,FI	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,IE	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,IT	: 	: 	: 	73 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,LU	: 	: 	: 	6 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,NO	: 	: 	: 	12 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,RO	11 	7 	4 	13 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,SE	: 	: 	: 	48 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,SI	50 	37 	41 	45 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,F,UK	: 	: 	: 	75 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,AT	239 	270 	228 	210 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,BE	: 	: 	: 	56 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,BG	: 	154 	: 	146 p
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,EL	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,ES	: 	: 	: 	21 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,FI	: 	: 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,IE	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,IT	: 	: 	: 	83 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,LT	: 	2 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,LU	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,NO	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,RO	53 	45 	74 	86 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,SE	: 	: 	: 	39 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,SI	192 	127 	128 	138 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,M,UK	: 	: 	: 	161 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,AT	433 	463 	363 	368 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,BE	: 	: 	: 	104 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,BG	: 	255 	: 	207 p
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,EL	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,ES	: 	: 	: 	28 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,FI	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,IE	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,IT	: 	: 	: 	156 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,LT	: 	2 	: 	3 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,LU	: 	: 	: 	13 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,NO	: 	: 	: 	22 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,RO	64 	52 	78 	99 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,SE	: 	: 	: 	87 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,SI	242 	164 	169 	183 
CC5_13_FOR_X_IS,COMPLET,Y45-49,NR,T,UK	: 	: 	: 	236 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,AT	166 	170 	144 	139 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,BE	: 	: 	: 	104 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,BG	: 	12 	: 	6 p
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,EL	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,ES	: 	: 	: 	12 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,FI	: 	: 	: 	15 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,IE	: 	: 	: 	11 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,IT	: 	: 	: 	95 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,LU	: 	: 	: 	9 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,NO	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,RO	7 	8 	8 	11 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,SE	: 	: 	: 	88 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,SI	46 	39 	36 	52 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,F,UK	: 	: 	: 	166 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,AT	190 	182 	140 	139 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,BE	: 	: 	: 	90 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,BG	: 	13 	: 	12 p
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,EL	: 	: 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,ES	: 	: 	: 	13 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,FI	: 	: 	: 	10 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,IE	: 	: 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,IS	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,IT	: 	: 	: 	110 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,LU	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,NO	: 	: 	: 	20 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,RO	12 	5 	13 	11 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,SE	: 	: 	: 	76 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,SI	39 	43 	45 	36 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,M,UK	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,AT	356 	352 	284 	278 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,BE	: 	: 	: 	194 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,BG	: 	25 	: 	18 p
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,EL	: 	: 	: 	7 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,ES	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,FI	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,IE	: 	: 	: 	16 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,IS	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,IT	: 	: 	: 	205 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,LT	: 	0 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,LU	: 	: 	: 	16 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,NO	: 	: 	: 	45 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,RO	19 	13 	21 	22 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,SE	: 	: 	: 	164 
CC5_13_FOR_X_IS,COMPLET,Y5-9,NR,T,SI	85 	82 	81 	88 
