age,c_birth,unit,sex,geo\time	2017 	2016 	2015 	2014 
Y_GE100,NAT,NR,M,MT	14 	9 	11 	12 
Y_GE100,NAT,NR,M,NL	301 	260 	278 	264 
Y_GE100,NAT,NR,M,NO	132 	138 	146 	137 
Y_GE100,NAT,NR,M,PL	302 ep	410 p	496 p	515 p
Y_GE100,NAT,NR,M,PT	1567 	1462 	1280 	976 
Y_GE100,NAT,NR,M,RO	425 	395 	412 	363 e
Y_GE100,NAT,NR,M,SE	301 	284 	291 	277 
Y_GE100,NAT,NR,M,SI	29 	25 	29 	35 
Y_GE100,NAT,NR,M,SK	312 	262 	209 	171 
Y_GE100,NAT,NR,M,UK	2213 	2128 	1901 	1715 
Y_GE100,NAT,NR,T,AT	975 	1106 	1211 	1180 
Y_GE100,NAT,NR,T,BE	1509 	1640 	1812 	1741 
Y_GE100,NAT,NR,T,BG	242 	310 	331 	280 
Y_GE100,NAT,NR,T,CH	1316 	1320 	1318 	1279 
Y_GE100,NAT,NR,T,CY	62 	63 	69 	111 
Y_GE100,NAT,NR,T,CZ	642 	689 	765 	733 
Y_GE100,NAT,NR,T,DK	1105 	1018 	984 	960 
Y_GE100,NAT,NR,T,EE	100 	103 	101 b	104 
Y_GE100,NAT,NR,T,EL	5506 	5299 	5025 	4270 
Y_GE100,NAT,NR,T,ES	11737 	10513 	14638 	13000 
Y_GE100,NAT,NR,T,FI	794 	744 	724 	692 
Y_GE100,NAT,NR,T,FR	15866 p	18716 p	21186 p	19540 
Y_GE100,NAT,NR,T,HR	99 	159 	257 	233 
Y_GE100,NAT,NR,T,HU	1580 	1534 	1448 	1318 
Y_GE100,NAT,NR,T,IE	540 	442 	588 	546 
Y_GE100,NAT,NR,T,IS	38 	37 	32 	35 
Y_GE100,NAT,NR,T,IT	17244 e	18375 	18721 	17545 
Y_GE100,NAT,NR,T,LI	1 	3 	4 	3 
Y_GE100,NAT,NR,T,LT	283 	336 	355 	334 
Y_GE100,NAT,NR,T,LU	62 b	48 	56 	49 
Y_GE100,NAT,NR,T,LV	97 	104 	134 	116 
Y_GE100,NAT,NR,T,MT	55 	48 	48 	42 
Y_GE100,NAT,NR,T,NL	2048 	1926 	1966 	1890 
Y_GE100,NAT,NR,T,NO	883 	885 	839 	788 
Y_GE100,NAT,NR,T,PL	2563 ep	2842 p	3237 p	3099 p
Y_GE100,NAT,NR,T,PT	4228 	4245 	4022 	3358 
Y_GE100,NAT,NR,T,RO	1388 	1362 	1390 	1185 e
Y_GE100,NAT,NR,T,SE	1814 	1738 	1787 	1724 
Y_GE100,NAT,NR,T,SI	193 	195 	208 	218 
Y_GE100,NAT,NR,T,SK	847 	731 	603 	500 
Y_GE100,NAT,NR,T,UK	13811 	13793 	13344 	12399 
Y_GE100,NEU28_FOR,NR,F,AT	21 	20 	23 	19 
Y_GE100,NEU28_FOR,NR,F,BE	27 	31 	25 	22 
Y_GE100,NEU28_FOR,NR,F,BG	3 	4 	3 	3 
Y_GE100,NEU28_FOR,NR,F,CH	21 	26 	20 	14 
Y_GE100,NEU28_FOR,NR,F,CY	2 	24 	5 	6 
Y_GE100,NEU28_FOR,NR,F,CZ	17 	16 	9 	7 
Y_GE100,NEU28_FOR,NR,F,DK	20 	19 	13 	15 
Y_GE100,NEU28_FOR,NR,F,EE	18 	18 	23 b	32 
Y_GE100,NEU28_FOR,NR,F,EL	1014 	853 	722 	557 
Y_GE100,NEU28_FOR,NR,F,ES	174 	132 	278 	206 
Y_GE100,NEU28_FOR,NR,F,FI	13 	10 	10 	10 
Y_GE100,NEU28_FOR,NR,F,FR	956 p	873 p	1084 p	923 
Y_GE100,NEU28_FOR,NR,F,HR	18 	13 	15 	14 
Y_GE100,NEU28_FOR,NR,F,HU	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,F,IE	7 	7 	13 	8 
Y_GE100,NEU28_FOR,NR,F,IS	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,F,IT	194 e	193 	183 	164 
Y_GE100,NEU28_FOR,NR,F,LI	1 	1 	0 	0 
Y_GE100,NEU28_FOR,NR,F,LT	3 	4 	4 	12 
Y_GE100,NEU28_FOR,NR,F,LU	1 b	0 	0 	0 
Y_GE100,NEU28_FOR,NR,F,LV	44 	43 	46 	34 
Y_GE100,NEU28_FOR,NR,F,MT	0 	1 	2 	2 
Y_GE100,NEU28_FOR,NR,F,NL	94 	75 	77 	76 
Y_GE100,NEU28_FOR,NR,F,NO	24 	23 	20 	25 
Y_GE100,NEU28_FOR,NR,F,PL	1277 ep	1039 p	954 p	704 p
Y_GE100,NEU28_FOR,NR,F,PT	18 	10 	10 	13 
Y_GE100,NEU28_FOR,NR,F,RO	150 	111 	89 	57 e
Y_GE100,NEU28_FOR,NR,F,SE	68 	55 	57 	53 
Y_GE100,NEU28_FOR,NR,F,SI	3 	1 	4 	3 
Y_GE100,NEU28_FOR,NR,F,SK	6 	4 	4 	4 
Y_GE100,NEU28_FOR,NR,F,UK	456 	444 	255 	360 
Y_GE100,NEU28_FOR,NR,M,AT	4 	4 	3 	5 
Y_GE100,NEU28_FOR,NR,M,BE	9 	9 	10 	8 
Y_GE100,NEU28_FOR,NR,M,BG	1 	1 	7 	5 
Y_GE100,NEU28_FOR,NR,M,CH	8 	8 	6 	4 
Y_GE100,NEU28_FOR,NR,M,CY	3 	2 	1 	1 
Y_GE100,NEU28_FOR,NR,M,CZ	4 	4 	2 	2 
Y_GE100,NEU28_FOR,NR,M,DK	3 	3 	3 	2 
Y_GE100,NEU28_FOR,NR,M,EE	7 	7 	6 b	2 
Y_GE100,NEU28_FOR,NR,M,EL	426 	340 	284 	211 
Y_GE100,NEU28_FOR,NR,M,ES	61 	29 	113 	91 
Y_GE100,NEU28_FOR,NR,M,FI	1 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,M,FR	292 p	324 p	330 p	269 
Y_GE100,NEU28_FOR,NR,M,HR	9 	8 	5 	10 
Y_GE100,NEU28_FOR,NR,M,HU	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,M,IE	7 	4 	5 	4 
Y_GE100,NEU28_FOR,NR,M,IS	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,M,IT	32 e	32 	30 	27 
Y_GE100,NEU28_FOR,NR,M,LI	1 	1 	1 	1 
Y_GE100,NEU28_FOR,NR,M,LT	0 	4 	4 	6 
Y_GE100,NEU28_FOR,NR,M,LU	0 b	3 	1 	2 
Y_GE100,NEU28_FOR,NR,M,LV	6 	8 	8 	6 
Y_GE100,NEU28_FOR,NR,M,MT	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,M,NL	15 	10 	11 	7 
Y_GE100,NEU28_FOR,NR,M,NO	15 	15 	10 	11 
Y_GE100,NEU28_FOR,NR,M,PL	494 ep	470 p	399 p	287 p
Y_GE100,NEU28_FOR,NR,M,PT	9 	8 	8 	6 
Y_GE100,NEU28_FOR,NR,M,RO	67 	42 	28 	15 e
Y_GE100,NEU28_FOR,NR,M,SE	13 	14 	15 	10 
Y_GE100,NEU28_FOR,NR,M,SI	2 	2 	0 	0 
Y_GE100,NEU28_FOR,NR,M,SK	5 	3 	3 	3 
Y_GE100,NEU28_FOR,NR,M,UK	112 	71 	152 	170 
Y_GE100,NEU28_FOR,NR,T,AT	25 	24 	26 	24 
Y_GE100,NEU28_FOR,NR,T,BE	36 	40 	35 	30 
Y_GE100,NEU28_FOR,NR,T,BG	4 	5 	10 	8 
Y_GE100,NEU28_FOR,NR,T,CH	29 	34 	26 	18 
Y_GE100,NEU28_FOR,NR,T,CY	5 	26 	6 	7 
Y_GE100,NEU28_FOR,NR,T,CZ	21 	20 	11 	9 
Y_GE100,NEU28_FOR,NR,T,DK	23 	22 	16 	17 
Y_GE100,NEU28_FOR,NR,T,EE	25 	25 	29 b	34 
Y_GE100,NEU28_FOR,NR,T,EL	1440 	1193 	1006 	768 
Y_GE100,NEU28_FOR,NR,T,ES	235 	161 	391 	297 
Y_GE100,NEU28_FOR,NR,T,FI	14 	10 	10 	10 
Y_GE100,NEU28_FOR,NR,T,FR	1248 p	1197 p	1414 p	1192 
Y_GE100,NEU28_FOR,NR,T,HR	27 	21 	20 	24 
Y_GE100,NEU28_FOR,NR,T,HU	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,T,IE	14 	11 	18 	12 
Y_GE100,NEU28_FOR,NR,T,IS	0 	0 	0 	0 
Y_GE100,NEU28_FOR,NR,T,IT	226 e	225 	213 	191 
Y_GE100,NEU28_FOR,NR,T,LI	2 	2 	1 	1 
Y_GE100,NEU28_FOR,NR,T,LT	3 	8 	8 	18 
Y_GE100,NEU28_FOR,NR,T,LU	1 b	3 	1 	2 
Y_GE100,NEU28_FOR,NR,T,LV	50 	51 	54 	40 
Y_GE100,NEU28_FOR,NR,T,MT	0 	1 	2 	2 
Y_GE100,NEU28_FOR,NR,T,NL	109 	85 	88 	83 
Y_GE100,NEU28_FOR,NR,T,NO	39 	38 	30 	36 
Y_GE100,NEU28_FOR,NR,T,PL	1771 ep	1509 p	1353 p	991 p
Y_GE100,NEU28_FOR,NR,T,PT	27 	18 	18 	19 
Y_GE100,NEU28_FOR,NR,T,RO	217 	153 	117 	72 e
Y_GE100,NEU28_FOR,NR,T,SE	81 	69 	72 	63 
Y_GE100,NEU28_FOR,NR,T,SI	5 	3 	4 	3 
Y_GE100,NEU28_FOR,NR,T,SK	11 	7 	7 	7 
Y_GE100,NEU28_FOR,NR,T,UK	568 	515 	407 	530 
Y_GE100,TOTAL,NR,F,AT	981 	1086 	1161 	1149 
Y_GE100,TOTAL,NR,F,BE	1500 	1587 	1737 	1650 
Y_GE100,TOTAL,NR,F,BG	181 	221 	238 	207 
Y_GE100,TOTAL,NR,F,CH	1283 	1272 	1253 	1221 
Y_GE100,TOTAL,NR,F,CY	18 	44 	33 	70 
Y_GE100,TOTAL,NR,F,CZ	529 	564 	625 	581 
Y_GE100,TOTAL,NR,F,DE	: 	14007 	14898 	13989 
Y_GE100,TOTAL,NR,F,DK	976 	906 	865 	840 
Y_GE100,TOTAL,NR,F,EE	111 	111 	116 b	128 
Y_GE100,TOTAL,NR,F,EL	4495 	4248 	4070 	3462 
Y_GE100,TOTAL,NR,F,ES	9872 	8935 	12034 	10634 
Y_GE100,TOTAL,NR,F,FI	680 	647 	641 	617 
Y_GE100,TOTAL,NR,F,FR	15386 p	17798 p	20351 p	18744 
Y_GE100,TOTAL,NR,F,HR	130 	172 	258 	221 
Y_GE100,TOTAL,NR,F,HU	1076 	1070 	997 	886 
Y_GE100,TOTAL,NR,F,IE	495 	385 	550 	506 
Y_GE100,TOTAL,NR,F,IS	25 	24 	26 	29 
Y_GE100,TOTAL,NR,F,IT	14719 	15674 	15994 	14891 
Y_GE100,TOTAL,NR,F,LI	2 	3 	2 	3 
Y_GE100,TOTAL,NR,F,LT	212 	272 	296 	271 
Y_GE100,TOTAL,NR,F,LU	66 b	50 	49 	49 
Y_GE100,TOTAL,NR,F,LV	134 	139 	173 	143 
Y_GE100,TOTAL,NR,F,MT	47 	45 	43 	36 
Y_GE100,TOTAL,NR,F,NL	1905 	1827 	1874 	1815 
Y_GE100,TOTAL,NR,F,NO	795 	784 	730 	698 
Y_GE100,TOTAL,NR,F,PL	4205 ep	4036 p	4063 p	3560 p
Y_GE100,TOTAL,NR,F,PT	2693 	2807 	2768 	2404 
Y_GE100,TOTAL,NR,F,RO	1207 	1146 	1113 	905 e
Y_GE100,TOTAL,NR,F,SE	1649 	1581 	1632 	1580 
Y_GE100,TOTAL,NR,F,SI	185 	188 	203 	201 
Y_GE100,TOTAL,NR,F,SK	565 	498 	424 	352 
Y_GE100,TOTAL,NR,F,UK	12467 	12467 	12231 	11994 
Y_GE100,TOTAL,NR,M,AT	167 	204 	242 	222 
Y_GE100,TOTAL,NR,M,BE	256 	271 	262 	238 
Y_GE100,TOTAL,NR,M,BG	73 	108 	120 	99 
Y_GE100,TOTAL,NR,M,CH	263 	290 	290 	274 
Y_GE100,TOTAL,NR,M,CY	51 	50 	43 	49 
Y_GE100,TOTAL,NR,M,CZ	166 	169 	173 	174 
Y_GE100,TOTAL,NR,M,DE	: 	2492 	2576 	2318 
Y_GE100,TOTAL,NR,M,DK	167 	152 	157 	156 
Y_GE100,TOTAL,NR,M,EE	14 	17 	16 b	12 
Y_GE100,TOTAL,NR,M,EL	2605 	2368 	2060 	1651 
Y_GE100,TOTAL,NR,M,ES	2305 	1800 	3445 	2971 
Y_GE100,TOTAL,NR,M,FI	135 	112 	100 	89 
Y_GE100,TOTAL,NR,M,FR	3036 p	3445 p	3735 p	3276 
Y_GE100,TOTAL,NR,M,HR	33 	42 	56 	68 
Y_GE100,TOTAL,NR,M,HU	504 	464 	451 	432 
Y_GE100,TOTAL,NR,M,IE	122 	137 	129 	107 
Y_GE100,TOTAL,NR,M,IS	14 	13 	6 	6 
Y_GE100,TOTAL,NR,M,IT	2911 	3091 	3101 	2993 
Y_GE100,TOTAL,NR,M,LI	2 	3 	3 	2 
Y_GE100,TOTAL,NR,M,LT	76 	77 	72 	83 
Y_GE100,TOTAL,NR,M,LU	8 b	15 	18 	13 
Y_GE100,TOTAL,NR,M,LV	18 	20 	21 	20 
Y_GE100,TOTAL,NR,M,MT	19 	11 	14 	15 
Y_GE100,TOTAL,NR,M,NL	320 	274 	296 	278 
Y_GE100,TOTAL,NR,M,NO	150 	155 	157 	158 
Y_GE100,TOTAL,NR,M,PL	1070 ep	1041 p	1055 p	917 p
Y_GE100,TOTAL,NR,M,PT	1589 	1480 	1298 	989 
Y_GE100,TOTAL,NR,M,RO	509 	447 	445 	383 e
Y_GE100,TOTAL,NR,M,SE	332 	315 	321 	299 
Y_GE100,TOTAL,NR,M,SI	36 	31 	33 	37 
Y_GE100,TOTAL,NR,M,SK	327 	272 	217 	179 
Y_GE100,TOTAL,NR,M,UK	2455 	2309 	2245 	2086 
Y_GE100,TOTAL,NR,T,AT	1148 	1290 	1403 	1371 
Y_GE100,TOTAL,NR,T,BE	1756 	1858 	1999 	1888 
Y_GE100,TOTAL,NR,T,BG	254 	329 	358 	306 
Y_GE100,TOTAL,NR,T,CH	1546 	1562 	1543 	1495 
Y_GE100,TOTAL,NR,T,CY	69 	94 	76 	119 
Y_GE100,TOTAL,NR,T,CZ	695 	733 	798 	755 
Y_GE100,TOTAL,NR,T,DE	: 	16499 	17474 	16307 
Y_GE100,TOTAL,NR,T,DK	1143 	1058 	1022 	996 
Y_GE100,TOTAL,NR,T,EE	125 	128 	132 b	140 
Y_GE100,TOTAL,NR,T,EL	7100 	6616 	6130 	5113 
Y_GE100,TOTAL,NR,T,ES	12177 	10735 	15479 	13605 
Y_GE100,TOTAL,NR,T,FI	815 	759 	741 	706 
Y_GE100,TOTAL,NR,T,FR	18422 p	21243 p	24086 p	22020 
Y_GE100,TOTAL,NR,T,HR	163 	214 	314 	289 
Y_GE100,TOTAL,NR,T,HU	1580 	1534 	1448 	1318 
Y_GE100,TOTAL,NR,T,IE	617 	522 	679 	613 
Y_GE100,TOTAL,NR,T,IS	39 	37 	32 	35 
Y_GE100,TOTAL,NR,T,IT	17630 	18765 	19095 	17884 
Y_GE100,TOTAL,NR,T,LI	4 	6 	5 	5 
Y_GE100,TOTAL,NR,T,LT	288 	349 	368 	354 
Y_GE100,TOTAL,NR,T,LU	74 b	65 	67 	62 
Y_GE100,TOTAL,NR,T,LV	152 	159 	194 	163 
Y_GE100,TOTAL,NR,T,MT	66 	56 	57 	51 
Y_GE100,TOTAL,NR,T,NL	2225 	2101 	2170 	2093 
Y_GE100,TOTAL,NR,T,NO	945 	939 	887 	856 
Y_GE100,TOTAL,NR,T,PL	5275 ep	5077 p	5118 p	4477 p
Y_GE100,TOTAL,NR,T,PT	4282 	4287 	4066 	3393 
Y_GE100,TOTAL,NR,T,RO	1716 	1593 	1558 	1288 e
Y_GE100,TOTAL,NR,T,SE	1981 	1896 	1953 	1879 
Y_GE100,TOTAL,NR,T,SI	221 	219 	236 	238 
Y_GE100,TOTAL,NR,T,SK	892 	770 	641 	531 
Y_GE100,TOTAL,NR,T,UK	14922 	14776 	14476 	14080 
Y_GE100,UNK,NR,F,AT	0 	0 	0 	3 
Y_GE100,UNK,NR,F,BE	0 	1 	2 	2 
Y_GE100,UNK,NR,F,BG	0 	1 	1 	1 
Y_GE100,UNK,NR,F,CH	6 	4 	3 	4 
Y_GE100,UNK,NR,F,CY	0 	0 	0 	0 
Y_GE100,UNK,NR,F,CZ	0 	0 	0 	0 
Y_GE100,UNK,NR,F,DK	0 	0 	0 	0 
Y_GE100,UNK,NR,F,EE	0 	0 	0 b	1 
Y_GE100,UNK,NR,F,EL	0 	0 	0 	0 
Y_GE100,UNK,NR,F,ES	0 	0 	0 	0 
Y_GE100,UNK,NR,F,FI	6 	4 	4 	1 
Y_GE100,UNK,NR,F,FR	0 p	0 p	0 p	: 
Y_GE100,UNK,NR,F,HR	30 	27 	27 	17 
Y_GE100,UNK,NR,F,HU	0 	0 	0 	0 
Y_GE100,UNK,NR,F,IE	0 	0 	0 	0 
Y_GE100,UNK,NR,F,IS	0 	0 	0 	0 
Y_GE100,UNK,NR,F,IT	0 e	0 	0 	0 
Y_GE100,UNK,NR,F,LI	0 	0 	0 	0 
Y_GE100,UNK,NR,F,LT	0 	0 	0 	0 
Y_GE100,UNK,NR,F,LU	0 b	0 	0 	0 
Y_GE100,UNK,NR,F,LV	0 	0 	0 	0 
Y_GE100,UNK,NR,F,MT	0 	0 	0 	0 
Y_GE100,UNK,NR,F,NL	0 	0 	0 	0 
Y_GE100,UNK,NR,F,NO	0 	0 	0 	0 
Y_GE100,UNK,NR,F,PL	28 ep	21 p	17 p	13 p
Y_GE100,UNK,NR,F,PT	0 	0 	0 	0 
Y_GE100,UNK,NR,F,RO	3 	2 	2 	1 e
Y_GE100,UNK,NR,F,SE	0 	0 	0 	0 
Y_GE100,UNK,NR,F,SI	0 	0 	0 	0 
Y_GE100,UNK,NR,F,SK	0 	0 	0 	0 
Y_GE100,UNK,NR,F,UK	0 	0 	0 	0 
Y_GE100,UNK,NR,M,AT	0 	0 	0 	0 
Y_GE100,UNK,NR,M,BE	0 	0 	0 	0 
Y_GE100,UNK,NR,M,BG	1 	1 	1 	1 
Y_GE100,UNK,NR,M,CH	1 	1 	0 	0 
Y_GE100,UNK,NR,M,CY	1 	0 	0 	0 
Y_GE100,UNK,NR,M,CZ	0 	0 	0 	0 
Y_GE100,UNK,NR,M,DK	0 	0 	0 	0 
Y_GE100,UNK,NR,M,EE	0 	0 	0 b	0 
Y_GE100,UNK,NR,M,EL	0 	0 	0 	0 
Y_GE100,UNK,NR,M,ES	0 	0 	0 	0 
Y_GE100,UNK,NR,M,FI	1 	0 	1 	1 
Y_GE100,UNK,NR,M,FR	0 p	0 p	0 p	: 
Y_GE100,UNK,NR,M,HR	5 	5 	2 	1 
Y_GE100,UNK,NR,M,HU	0 	0 	0 	0 
Y_GE100,UNK,NR,M,IE	0 	0 	0 	0 
Y_GE100,UNK,NR,M,IS	0 	0 	0 	0 
Y_GE100,UNK,NR,M,IT	0 e	0 	0 	0 
Y_GE100,UNK,NR,M,LI	0 	0 	0 	0 
Y_GE100,UNK,NR,M,LT	0 	0 	0 	0 
Y_GE100,UNK,NR,M,LU	0 b	0 	0 	0 
Y_GE100,UNK,NR,M,LV	0 	0 	0 	0 
Y_GE100,UNK,NR,M,MT	0 	0 	0 	0 
Y_GE100,UNK,NR,M,NL	0 	0 	0 	0 
Y_GE100,UNK,NR,M,NO	0 	0 	0 	0 
Y_GE100,UNK,NR,M,PL	4 ep	8 p	4 p	3 p
Y_GE100,UNK,NR,M,PT	0 	0 	0 	0 
Y_GE100,UNK,NR,M,RO	0 	0 	0 	0 e
Y_GE100,UNK,NR,M,SE	5 	4 	4 	4 
Y_GE100,UNK,NR,M,SI	0 	0 	0 	0 
Y_GE100,UNK,NR,M,SK	0 	0 	0 	0 
Y_GE100,UNK,NR,M,UK	0 	0 	1 	0 
Y_GE100,UNK,NR,T,AT	0 	0 	0 	3 
Y_GE100,UNK,NR,T,BE	0 	1 	2 	2 
Y_GE100,UNK,NR,T,BG	1 	2 	2 	2 
Y_GE100,UNK,NR,T,CH	7 	5 	3 	4 
Y_GE100,UNK,NR,T,CY	1 	0 	0 	0 
Y_GE100,UNK,NR,T,CZ	0 	0 	0 	0 
Y_GE100,UNK,NR,T,DK	0 	0 	0 	0 
Y_GE100,UNK,NR,T,EE	0 	0 	0 b	1 
Y_GE100,UNK,NR,T,EL	0 	0 	0 	0 
Y_GE100,UNK,NR,T,ES	0 	0 	0 	0 
Y_GE100,UNK,NR,T,FI	7 	4 	5 	2 
Y_GE100,UNK,NR,T,FR	0 p	0 p	0 p	: 
Y_GE100,UNK,NR,T,HR	35 	32 	29 	18 
Y_GE100,UNK,NR,T,HU	0 	0 	0 	0 
Y_GE100,UNK,NR,T,IE	0 	0 	0 	0 
Y_GE100,UNK,NR,T,IS	0 	0 	0 	0 
Y_GE100,UNK,NR,T,IT	0 e	0 	0 	0 
Y_GE100,UNK,NR,T,LI	0 	0 	0 	0 
Y_GE100,UNK,NR,T,LT	0 	0 	0 	0 
Y_GE100,UNK,NR,T,LU	0 b	0 	0 	0 
Y_GE100,UNK,NR,T,LV	0 	0 	0 	0 
Y_GE100,UNK,NR,T,MT	0 	0 	0 	0 
Y_GE100,UNK,NR,T,NL	0 	0 	0 	0 
Y_GE100,UNK,NR,T,NO	0 	0 	0 	0 
Y_GE100,UNK,NR,T,PL	32 ep	29 p	21 p	16 p
Y_GE100,UNK,NR,T,PT	0 	0 	0 	0 
Y_GE100,UNK,NR,T,RO	3 	2 	2 	1 e
Y_GE100,UNK,NR,T,SE	5 	4 	4 	4 
Y_GE100,UNK,NR,T,SI	0 	0 	0 	0 
Y_GE100,UNK,NR,T,SK	0 	0 	0 	0 
Y_GE100,UNK,NR,T,UK	0 	0 	1 	0 
Y_GE65,CC5_13_FOR_X_IS,NR,F,AT	21927 	20811 	19157 	17850 
Y_GE65,CC5_13_FOR_X_IS,NR,F,BE	5540 	5420 	5083 	4845 
Y_GE65,CC5_13_FOR_X_IS,NR,F,BG	1021 	1054 	1088 	1117 
Y_GE65,CC5_13_FOR_X_IS,NR,F,CH	6979 	6369 	5597 	4942 
Y_GE65,CC5_13_FOR_X_IS,NR,F,CY	: 	: 	: 	50 
Y_GE65,CC5_13_FOR_X_IS,NR,F,CZ	72 	60 	: 	42 
Y_GE65,CC5_13_FOR_X_IS,NR,F,DK	1576 	1510 	1392 	1290 
Y_GE65,CC5_13_FOR_X_IS,NR,F,EE	2 	3 	3 	1 
Y_GE65,CC5_13_FOR_X_IS,NR,F,EL	: 	: 	: 	14005 
Y_GE65,CC5_13_FOR_X_IS,NR,F,ES	: 	: 	353 	316 
Y_GE65,CC5_13_FOR_X_IS,NR,F,FI	20 	15 	16 	14 
Y_GE65,CC5_13_FOR_X_IS,NR,F,FR	: 	: 	: 	16930 
Y_GE65,CC5_13_FOR_X_IS,NR,F,HR	: 	: 	: 	12343 
Y_GE65,CC5_13_FOR_X_IS,NR,F,HU	: 	5344 	5383 	5432 
Y_GE65,CC5_13_FOR_X_IS,NR,F,IE	: 	: 	: 	70 
Y_GE65,CC5_13_FOR_X_IS,NR,F,IS	6 	5 	3 	4 
Y_GE65,CC5_13_FOR_X_IS,NR,F,IT	6475 	6309 	: 	5565 
Y_GE65,CC5_13_FOR_X_IS,NR,F,LI	39 	39 	35 	29 
Y_GE65,CC5_13_FOR_X_IS,NR,F,LT	1 	1 	1 	1 
Y_GE65,CC5_13_FOR_X_IS,NR,F,LU	115 	: 	: 	153 
Y_GE65,CC5_13_FOR_X_IS,NR,F,LV	1 	2 	2 	1 
Y_GE65,CC5_13_FOR_X_IS,NR,F,NL	11772 	11436 	10606 	9952 
Y_GE65,CC5_13_FOR_X_IS,NR,F,NO	533 	478 	: 	398 
Y_GE65,CC5_13_FOR_X_IS,NR,F,RO	203 	191 	: 	190 e
Y_GE65,CC5_13_FOR_X_IS,NR,F,SE	2675 	2558 	: 	: 
Y_GE65,CC5_13_FOR_X_IS,NR,F,SI	3742 	3499 	3295 	3079 
Y_GE65,CC5_13_FOR_X_IS,NR,F,SK	218 	219 	212 	213 
Y_GE65,CC5_13_FOR_X_IS,NR,M,AT	19812 	18745 	17005 	15559 
Y_GE65,CC5_13_FOR_X_IS,NR,M,BE	4790 	4634 	4217 	3993 
Y_GE65,CC5_13_FOR_X_IS,NR,M,BG	875 	877 	898 	916 
Y_GE65,CC5_13_FOR_X_IS,NR,M,CH	7313 	6717 	5954 	5285 
Y_GE65,CC5_13_FOR_X_IS,NR,M,CY	: 	: 	: 	31 
Y_GE65,CC5_13_FOR_X_IS,NR,M,CZ	185 	155 	: 	106 
Y_GE65,CC5_13_FOR_X_IS,NR,M,DK	1732 	1693 	1623 	1561 
Y_GE65,CC5_13_FOR_X_IS,NR,M,EE	2 	2 	2 	1 
Y_GE65,CC5_13_FOR_X_IS,NR,M,EL	: 	: 	: 	8834 
Y_GE65,CC5_13_FOR_X_IS,NR,M,ES	: 	: 	317 	292 
Y_GE65,CC5_13_FOR_X_IS,NR,M,FI	74 	65 	53 	45 
Y_GE65,CC5_13_FOR_X_IS,NR,M,FR	: 	: 	: 	19522 
Y_GE65,CC5_13_FOR_X_IS,NR,M,HR	: 	: 	: 	9514 
Y_GE65,CC5_13_FOR_X_IS,NR,M,HU	: 	3740 	3691 	3685 
Y_GE65,CC5_13_FOR_X_IS,NR,M,IE	: 	: 	: 	44 
Y_GE65,CC5_13_FOR_X_IS,NR,M,IS	5 	5 	4 	4 
Y_GE65,CC5_13_FOR_X_IS,NR,M,IT	3540 	3358 	: 	2935 
Y_GE65,CC5_13_FOR_X_IS,NR,M,LI	39 	41 	32 	26 
Y_GE65,CC5_13_FOR_X_IS,NR,M,LT	0 	0 	0 	0 
Y_GE65,CC5_13_FOR_X_IS,NR,M,LU	107 	: 	: 	137 
Y_GE65,CC5_13_FOR_X_IS,NR,M,LV	1 	1 	1 	0 
Y_GE65,CC5_13_FOR_X_IS,NR,M,NL	10903 	10988 	10719 	10544 
Y_GE65,CC5_13_FOR_X_IS,NR,M,NO	641 	582 	: 	487 
Y_GE65,CC5_13_FOR_X_IS,NR,M,RO	325 	270 	: 	202 e
Y_GE65,CC5_13_FOR_X_IS,NR,M,SE	2775 	2649 	: 	: 
Y_GE65,CC5_13_FOR_X_IS,NR,M,SI	4560 	4293 	4242 	3984 
Y_GE65,CC5_13_FOR_X_IS,NR,M,SK	275 	256 	237 	228 
Y_GE65,CC5_13_FOR_X_IS,NR,T,AT	41739 	39556 	36162 	33409 
Y_GE65,CC5_13_FOR_X_IS,NR,T,BE	10330 	10054 	9300 	8838 
Y_GE65,CC5_13_FOR_X_IS,NR,T,BG	1896 	1931 	1986 	2033 
Y_GE65,CC5_13_FOR_X_IS,NR,T,CH	14292 	13086 	11551 	10227 
Y_GE65,CC5_13_FOR_X_IS,NR,T,CY	: 	: 	: 	81 
Y_GE65,CC5_13_FOR_X_IS,NR,T,CZ	257 	215 	: 	148 
Y_GE65,CC5_13_FOR_X_IS,NR,T,DK	3308 	3203 	3015 	2851 
Y_GE65,CC5_13_FOR_X_IS,NR,T,EE	4 	5 	5 	2 
Y_GE65,CC5_13_FOR_X_IS,NR,T,EL	: 	: 	: 	22839 
Y_GE65,CC5_13_FOR_X_IS,NR,T,ES	: 	: 	670 	608 
Y_GE65,CC5_13_FOR_X_IS,NR,T,FI	94 	80 	69 	59 
Y_GE65,CC5_13_FOR_X_IS,NR,T,FR	: 	: 	: 	36452 
Y_GE65,CC5_13_FOR_X_IS,NR,T,HR	: 	: 	: 	21857 
